Keyword;Position;Previous Position;Search Volume;Keyword Difficulty Index;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends;Timestamp
"nia long short hair";"11";"13";"1000";"73.98";"0.00";"http://hairstylefoto.com/nia-long-short-hairstyle/";"4.47";"0.00";"0.00";"7860000";"1.00,1.00,1.00,0.88,1.00,0.88,0.88,1.00,0.88,1.00,1.00,1.00";"1484357094"
"up due hairstyles";"6";"8";"480";"75.46";"0.19";"http://hairstylefoto.com/up-due-hairstyles-for-long-hair/";"2.28";"0.52";"0.08";"3540000";"0.67,1.00,1.00,0.55,0.55,0.44,0.44,0.44,0.24,0.24,0.30,0.44";"1484364534"
"up due hairstyles";"5";"7";"480";"75.46";"0.19";"http://hairstylefoto.com/up-due-hairstyles-for-wedding/";"2.28";"0.52";"0.08";"3540000";"0.67,1.00,1.00,0.55,0.55,0.44,0.44,0.44,0.24,0.24,0.30,0.44";"1484364534"
"dutch boy haircut";"9";"8";"720";"75.76";"3.34";"http://hairstylefoto.com/dutch-boy-hairstyle/";"2.00";"9.53";"0.03";"916000";"0.82,0.82,0.82,1.00,0.82,1.00,1.00,0.82,1.00,1.00,0.82,0.55";"1484357255"
"anime boy hairstyles";"12";"12";"1000";"71.38";"0.00";"http://hairstylefoto.com/anime-boy-hairstyles/";"1.23";"0.00";"0.08";"6100000";"0.68,0.68,0.84,0.84,1.00,0.31,0.53,0.38,0.46,0.53,0.53,0.53";"1484352572"
"13 year old hairstyles";"6";"10";"260";"75.06";"3.89";"http://hairstylefoto.com/13-year-old-girl-hairstyles/";"1.23";"6.62";"0.06";"6140000";"0.44,0.54,0.54,0.54,0.67,1.00,0.54,0.35,0.35,0.35,0.54,0.67";"1482770760"
"crimp hairstyles";"11";"14";"260";"81.99";"0.00";"http://hairstylefoto.com/crimp-hairstyles-for-long-hair/";"1.14";"0.00";"0.00";"392000";"0.54,0.81,1.00,0.67,0.35,0.44,0.35,0.29,0.19,0.19,0.44,0.54";"1482788684"
"shaggy black hair";"2";"19";"90";"84.78";"0.00";"http://hairstylefoto.com/shaggy-black-hair/";"1.04";"0.00";"0.03";"4110000";"0.64,0.82,0.82,0.64,0.82,0.64,0.82,0.64,0.82,0.82,0.64,1.00";"1482885349"
"anime girl with curly hair";"9";"9";"390";"80.64";"0.00";"http://hairstylefoto.com/anime-girls-with-curly-hair/";"1.04";"0.00";"0.03";"3220000";"0.67,0.81,0.81,0.67,0.81,0.81,0.67,0.54,0.81,0.81,1.00,0.81";"1484378129"
"black barbershop haircut chart";"2";"3";"90";"69.76";"0.00";"http://hairstylefoto.com/black-barbershop-haircut-chart/";"1.04";"0.00";"0.07";"2620000";"0.82,1.00,0.53,0.65,0.53,0.53,0.53,0.53,0.29,0.41,0.53,0.41";"1482904307"
"anime girl with short black hair";"10";"9";"390";"80.71";"0.00";"http://hairstylefoto.com/anime-girl-with-short-black-hair/";"1.04";"0.00";"0.00";"13500000";"0.67,0.54,0.67,0.67,0.81,0.81,0.54,0.67,0.81,1.00,1.00,1.00";"1484373394"
"blackish purple hair";"6";"8";"210";"73.44";"0.17";"http://hairstylefoto.com/blackish-purple-hair/";"0.95";"0.13";"0.57";"3200000";"0.66,0.66,0.53,0.28,0.66,0.81,0.81,1.00,0.81,0.81,0.81,0.66";"1482788417"
"little black boy haircuts";"12";"11";"720";"77.95";"0.00";"http://hairstylefoto.com/little-black-boys-haircuts/";"0.85";"0.00";"0.03";"969000";"0.45,0.45,0.45,0.45,0.45,0.55,0.45,0.55,0.55,0.55,1.00,1.00";"1484366846"
"sweet 15 hairstyles";"9";"18";"320";"79.05";"0.00";"http://hairstylefoto.com/sweet-15-hairstyles-for-long-hair/";"0.85";"0.00";"0.01";"3840000";"0.67,0.67,0.54,0.81,1.00,0.81,0.54,0.44,0.44,0.23,0.54,0.67";"1482767484"
"weave bob hairstyles";"14";"14";"1300";"79.40";"0.14";"http://hairstylefoto.com/short-weave-bob-hairstyles/";"0.85";"0.13";"0.08";"2730000";"1.00,1.00,1.00,0.42,0.30,0.25,0.54,0.42,0.37,0.54,0.54,0.42";"1484346374"
"short haircut names";"4";"0";"110";"81.05";"0.00";"http://hairstylefoto.com/short-haircut-names-and-pictures/";"0.66";"0.00";"0.04";"1230000";"0.64,0.79,1.00,0.79,1.00,1.00,0.64,0.79,0.79,1.00,0.79,0.79";"1482886162"
"short swing bob";"11";"11";"170";"76.59";"0.01";"http://hairstylefoto.com/short-swing-bob/";"0.66";"0.00";"0.01";"2430000";"0.82,1.00,1.00,0.82,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00";"1482819701"
"black girls bobs";"9";"11";"260";"85.59";"0.00";"http://hairstylefoto.com/black-girls-bobs/";"0.66";"0.00";"0.10";"0";"0.66,0.66,0.81,0.81,0.81,1.00,0.81,0.81,0.66,0.81,0.66,1.00";"1482781073"
"peekaboo highlights short hair";"11";"8";"170";"83.77";"0.00";"http://hairstylefoto.com/peekaboo-highlights-for-short-hair/";"0.66";"0.00";"0.03";"1460000";"0.18,0.18,0.28,0.67,0.54,0.82,1.00,0.23,0.28,0.36,0.44,0.54";"1482819485"
"confirmation hairstyles";"10";"11";"210";"76.42";"0.00";"http://hairstylefoto.com/confirmation-hairstyles-for-long-hair/";"0.57";"0.00";"0.10";"587000";"0.44,1.00,1.00,0.19,0.03,0.04,0.07,0.10,0.10,0.01,0.07,0.24";"1482800130"
"dutch boy hairstyle";"3";"1";"70";"72.88";"0.00";"http://hairstylefoto.com/dutch-boy-hairstyle/";"0.57";"0.00";"0.01";"1150000";"0.08,0.08,0.15,0.12,0.15,0.15,0.12,0.27,0.15,0.19,0.35,1.00";"1482956614"
"cute blond boys";"9";"8";"210";"83.87";"0.00";"http://hairstylefoto.com/cute-blonde-boys/";"0.57";"0.00";"0.11";"0";"0.81,0.65,0.81,1.00,1.00,0.81,0.81,0.65,0.65,1.00,0.81,0.65";"1482793304"
