Keyword;Search Volume;Keyword Difficulty Index;CPC;Url;Traffic Cost (%);Competition;Number of Results;Trends
"nia long short hair";"1000";"73.98";"0.00";"http://hairstylefoto.com/nia-long-short-hairstyle/";"0.00";"0.00";"7860000";"1.00,1.00,1.00,0.88,1.00,0.88,0.88,1.00,0.88,1.00,1.00,1.00"
"up due hairstyles";"480";"75.46";"0.19";"http://hairstylefoto.com/up-due-hairstyles-for-long-hair/";"0.50";"0.08";"3540000";"0.67,1.00,1.00,0.55,0.55,0.44,0.44,0.44,0.24,0.24,0.30,0.44"
"up due hairstyles";"480";"75.46";"0.19";"http://hairstylefoto.com/up-due-hairstyles-for-wedding/";"0.50";"0.08";"3540000";"0.67,1.00,1.00,0.55,0.55,0.44,0.44,0.44,0.24,0.24,0.30,0.44"
"dutch boy haircut";"720";"75.76";"3.34";"http://hairstylefoto.com/dutch-boy-hairstyle/";"9.00";"0.03";"916000";"0.82,0.82,0.82,1.00,0.82,1.00,1.00,0.82,1.00,1.00,0.82,0.55"
"anime boy hairstyles";"1000";"71.38";"0.00";"http://hairstylefoto.com/anime-boy-hairstyles/";"0.00";"0.08";"6100000";"0.68,0.68,0.84,0.84,1.00,0.31,0.53,0.38,0.46,0.53,0.53,0.53"
"13 year old hairstyles";"260";"75.06";"3.89";"http://hairstylefoto.com/13-year-old-girl-hairstyles/";"6.25";"0.06";"6140000";"0.44,0.54,0.54,0.54,0.67,1.00,0.54,0.35,0.35,0.35,0.54,0.67"
"crimp hairstyles";"260";"81.99";"0.00";"http://hairstylefoto.com/crimp-hairstyles-for-long-hair/";"0.00";"0.00";"392000";"0.54,0.81,1.00,0.67,0.35,0.44,0.35,0.29,0.19,0.19,0.44,0.54"
"shaggy black hair";"90";"84.78";"0.00";"http://hairstylefoto.com/shaggy-black-hair/";"0.00";"0.03";"4110000";"0.64,0.82,0.82,0.64,0.82,0.64,0.82,0.64,0.82,0.82,0.64,1.00"
"anime girl with curly hair";"390";"80.64";"0.00";"http://hairstylefoto.com/anime-girls-with-curly-hair/";"0.00";"0.03";"3220000";"0.67,0.81,0.81,0.67,0.81,0.81,0.67,0.54,0.81,0.81,1.00,0.81"
"black barbershop haircut chart";"90";"69.76";"0.00";"http://hairstylefoto.com/black-barbershop-haircut-chart/";"0.00";"0.07";"2620000";"0.82,1.00,0.53,0.65,0.53,0.53,0.53,0.53,0.29,0.41,0.53,0.41"
"anime girl with short black hair";"390";"80.71";"0.00";"http://hairstylefoto.com/anime-girl-with-short-black-hair/";"0.00";"0.00";"13500000";"0.67,0.54,0.67,0.67,0.81,0.81,0.54,0.67,0.81,1.00,1.00,1.00"
"blackish purple hair";"210";"73.44";"0.17";"http://hairstylefoto.com/blackish-purple-hair/";"0.12";"0.57";"3200000";"0.66,0.66,0.53,0.28,0.66,0.81,0.81,1.00,0.81,0.81,0.81,0.66"
"little black boy haircuts";"720";"77.95";"0.00";"http://hairstylefoto.com/little-black-boys-haircuts/";"0.00";"0.03";"969000";"0.45,0.45,0.45,0.45,0.45,0.55,0.45,0.55,0.55,0.55,1.00,1.00"
"sweet 15 hairstyles";"320";"79.05";"0.00";"http://hairstylefoto.com/sweet-15-hairstyles-for-long-hair/";"0.00";"0.01";"3840000";"0.67,0.67,0.54,0.81,1.00,0.81,0.54,0.44,0.44,0.23,0.54,0.67"
"weave bob hairstyles";"1300";"79.40";"0.14";"http://hairstylefoto.com/short-weave-bob-hairstyles/";"0.12";"0.08";"2730000";"1.00,1.00,1.00,0.42,0.30,0.25,0.54,0.42,0.37,0.54,0.54,0.42"
"short haircut names";"110";"81.05";"0.00";"http://hairstylefoto.com/short-haircut-names-and-pictures/";"0.00";"0.04";"1230000";"0.64,0.79,1.00,0.79,1.00,1.00,0.64,0.79,0.79,1.00,0.79,0.79"
"short swing bob";"170";"76.59";"0.01";"http://hairstylefoto.com/short-swing-bob/";"0.00";"0.01";"2430000";"0.82,1.00,1.00,0.82,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
"black girls bobs";"260";"85.59";"0.00";"http://hairstylefoto.com/black-girls-bobs/";"0.00";"0.10";"0";"0.66,0.66,0.81,0.81,0.81,1.00,0.81,0.81,0.66,0.81,0.66,1.00"
"peekaboo highlights short hair";"170";"83.77";"0.00";"http://hairstylefoto.com/peekaboo-highlights-for-short-hair/";"0.00";"0.03";"1460000";"0.18,0.18,0.28,0.67,0.54,0.82,1.00,0.23,0.28,0.36,0.44,0.54"
"confirmation hairstyles";"210";"76.42";"0.00";"http://hairstylefoto.com/confirmation-hairstyles-for-long-hair/";"0.00";"0.10";"587000";"0.44,1.00,1.00,0.19,0.03,0.04,0.07,0.10,0.10,0.01,0.07,0.24"
"dutch boy hairstyle";"70";"72.88";"0.00";"http://hairstylefoto.com/dutch-boy-hairstyle/";"0.00";"0.01";"1150000";"0.08,0.08,0.15,0.12,0.15,0.15,0.12,0.27,0.15,0.19,0.35,1.00"
"cute blond boys";"210";"83.87";"0.00";"http://hairstylefoto.com/cute-blonde-boys/";"0.00";"0.11";"0";"0.81,0.65,0.81,1.00,1.00,0.81,0.81,0.65,0.65,1.00,0.81,0.65"
"long layered haircuts back view";"140";"77.05";"0.00";"http://hairstylefoto.com/layered-long-hairstyles-back-view/";"0.00";"0.04";"0";"1.00,0.36,0.23,0.44,0.44,0.36,0.36,0.36,0.18,0.18,0.18,0.13"
"pin curl updo black hair";"110";"77.11";"0.00";"http://hairstylefoto.com/pin-curl-updo-black-hair/";"0.00";"0.20";"521000";"0.79,0.79,1.00,0.79,0.64,0.64,0.64,0.79,0.64,0.64,0.64,1.00"
"short girly haircuts";"110";"76.18";"0.00";"http://hairstylefoto.com/short-girly-haircuts/short-girly-haircuts-photo-1/";"0.00";"0.31";"3210000";"0.82,0.82,0.65,1.00,1.00,0.65,0.53,0.41,0.24,0.24,0.53,0.53"
"13 year old boy hairstyles";"170";"60.44";"6.21";"http://hairstylefoto.com/13-year-old-boy-hairstyles/";"3.87";"0.04";"5670000";"0.53,0.53,0.34,0.53,0.81,1.00,0.81,0.53,0.66,0.22,0.22,0.28"
"hawaiian hairstyles";"1000";"74.78";"0.00";"http://hairstylefoto.com/hawaiian-wedding-hairstyles/";"0.00";"0.10";"1130000";"0.42,0.54,1.00,0.79,0.54,0.42,0.30,0.20,0.13,0.16,0.16,0.20"
"cute brunette boys";"110";"76.37";"0.00";"http://hairstylefoto.com/cute-brunette-boys/";"0.00";"0.00";"0";"1.00,0.65,0.82,0.82,0.82,0.65,0.53,0.65,0.53,0.82,0.65,0.65"
"cowgirl hairstyles";"1000";"70.11";"1.31";"http://hairstylefoto.com/cowgirl-hairstyles-for-long-hair/";"0.75";"0.10";"15500000";"0.30,0.37,0.37,0.37,0.37,0.30,0.42,1.00,0.30,0.20,0.30,0.54"
"hairstyles for 13 year olds";"170";"84.50";"0.00";"http://hairstylefoto.com/13-year-old-girl-hairstyles/";"0.00";"0.05";"1130000";"0.27,0.81,0.65,0.65,0.35,0.42,0.81,0.81,0.65,0.42,0.65,1.00"
"short wedge haircut";"720";"76.06";"0.25";"http://hairstylefoto.com/short-wedge-haircut/";"0.12";"0.23";"554000";"0.55,0.55,0.77,1.00,0.77,0.20,0.13,0.55,0.68,0.55,0.45,0.45"
"8 year old boy haircuts";"170";"73.00";"4.26";"http://hairstylefoto.com/12-year-old-boy-haircuts/";"2.62";"0.09";"1480000";"0.53,0.44,0.44,0.44,0.53,1.00,0.53,0.53,0.44,0.44,0.66,1.00"
"country boy hairstyles";"110";"69.28";"0.00";"http://hairstylefoto.com/sexy-country-boy/";"0.00";"0.19";"2270000";"0.81,0.54,0.35,0.27,0.19,0.19,0.15,0.54,0.81,1.00,0.54,0.15"
"country boy hairstyles";"110";"69.28";"0.00";"http://hairstylefoto.com/country-boy-hairstyles/";"0.00";"0.19";"2270000";"0.81,0.54,0.35,0.27,0.19,0.19,0.15,0.54,0.81,1.00,0.54,0.15"
"hairstyles for sweet 15";"110";"78.90";"0.00";"http://hairstylefoto.com/sweet-15-hairstyles-for-long-hair/";"0.00";"0.02";"3580000";"0.65,0.65,0.82,1.00,0.82,0.53,0.53,0.65,0.65,0.41,0.65,0.29"
"black teenage hairstyles 2012";"90";"79.97";"0.00";"http://hairstylefoto.com/teenage-hairstyles-for-black-girls/";"0.00";"0.36";"6850000";"0.57,0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.14,0.71,0.71,0.71"
"cute sew in hairstyles";"880";"72.92";"0.00";"http://hairstylefoto.com/cute-sew-in-hairstyles-for-black-people/";"0.00";"0.06";"1650000";"0.25,0.25,0.42,0.54,0.79,1.00,0.37,0.16,0.09,0.13,0.25,0.42"
"punk rock hairstyles for long hair";"90";"71.95";"0.00";"http://hairstylefoto.com/punk-hairstyle-for-long-hair/";"0.00";"0.33";"915000";"0.65,0.53,0.41,0.29,0.65,0.65,0.53,1.00,0.41,0.29,0.41,0.29"
"long bob weave";"880";"71.46";"0.25";"http://hairstylefoto.com/long-bob-weave-hairstyles/";"0.12";"0.05";"69400000";"0.17,0.21,0.25,0.25,0.31,0.38,0.46,0.53,0.68,0.84,0.68,1.00"
"stacked bob with bangs";"880";"76.86";"0.35";"http://hairstylefoto.com/long-stacked-bob-with-bangs/";"0.12";"0.05";"6210000";"0.77,1.00,0.45,0.30,0.30,0.30,0.68,0.77,1.00,0.77,0.68,0.30"
"pretty girls with black hair";"480";"85.45";"0.00";"http://hairstylefoto.com/pretty-girls-with-black-hair/";"0.00";"0.01";"30900000";"0.66,0.81,0.66,1.00,1.00,0.81,0.66,0.66,0.66,0.81,0.66,0.54"
"black long hairstyles with bangs and layers";"880";"81.11";"0.00";"http://hairstylefoto.com/black-long-hairstyles-with-bangs-and-layers/";"0.00";"0.00";"13900000";"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00"
"short v haircut";"140";"83.77";"0.00";"http://hairstylefoto.com/short-v-haircut/";"0.00";"0.03";"3860000";"0.82,0.82,0.65,1.00,0.82,1.00,0.53,0.82,0.65,0.82,0.82,0.82"
"roaring 20s hairstyle";"90";"79.29";"0.00";"http://hairstylefoto.com/roaring-20s-long-hairstyles/";"0.00";"0.23";"399000";"0.27,0.12,0.19,0.12,0.08,0.08,0.12,0.65,0.54,0.19,0.35,1.00"
"11 year old boy haircuts";"140";"73.26";"2.48";"http://hairstylefoto.com/11-year-old-boy-haircuts/";"1.25";"0.07";"1680000";"0.35,0.35,0.54,0.54,0.42,0.65,0.42,0.54,0.81,0.54,0.81,1.00"
"girly haircuts";"140";"75.85";"0.00";"http://hairstylefoto.com/short-girly-haircuts/";"0.00";"0.02";"1050000";"0.82,0.82,0.82,1.00,1.00,1.00,0.53,0.41,0.53,0.65,0.65,0.53"
"12 year old hairstyles";"320";"82.21";"0.00";"http://hairstylefoto.com/12-year-old-boy-haircuts/";"0.00";"0.02";"4930000";"0.81,0.67,0.81,0.81,0.81,1.00,0.67,0.54,0.54,0.54,0.67,0.44"
"african american flower girl hairstyles";"90";"75.52";"0.00";"http://hairstylefoto.com/african-american-flower-girl-hairstyles/";"0.00";"0.07";"877000";"0.53,0.65,0.65,0.82,1.00,0.82,0.65,0.41,0.29,0.24,0.29,0.41"
"indian lady hairstyle long hair";"90";"83.94";"0.00";"http://hairstylefoto.com/indian-ladies-hairstyles-for-long-hair/";"0.00";"0.07";"1050000";"0.20,1.00,0.20,0.40,0.20,0.20,0.20,0.20,0.20,0.60,0.20,1.00"
"unique long haircuts";"140";"80.09";"0.00";"http://hairstylefoto.com/unique-long-haircuts/";"0.00";"0.00";"27900000";"1.00,1.00,0.64,1.00,1.00,1.00,1.00,0.50,0.79,0.79,1.00,1.00"
"black n red hairstyles";"90";"77.52";"0.00";"http://hairstylefoto.com/black-n-red-hair/";"0.00";"0.06";"6220000";"0.22,0.78,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.78"
"american girl doll hairstyles for long hair";"90";"72.37";"0.00";"http://hairstylefoto.com/american-girl-doll-hairstyle/";"0.00";"0.06";"3980000";"0.29,0.29,0.29,0.41,0.53,0.53,0.29,0.41,0.82,1.00,0.65,0.41"
"cute hairstyles for a 13 year old";"90";"78.45";"0.00";"http://hairstylefoto.com/13-year-old-girl-hairstyles/";"0.00";"0.00";"7660000";"0.57,0.43,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.43"
"basketball hairstyles for girls";"90";"85.51";"0.00";"http://hairstylefoto.com/basketball-hairstyles-for-girls/";"0.00";"0.03";"14600000";"0.19,0.19,0.15,0.19,0.15,0.08,0.12,0.27,0.54,0.65,1.00,0.54"
"cute boys with brown hair";"320";"76.44";"0.00";"http://hairstylefoto.com/cute-boys-with-brown-hair/";"0.00";"0.00";"30800000";"0.81,0.67,0.67,0.67,0.81,1.00,0.54,0.44,0.54,0.54,0.54,0.44"
"13 year old boy haircuts";"140";"73.78";"2.25";"http://hairstylefoto.com/13-year-old-boy-hairstyles/";"1.12";"0.07";"1520000";"0.16,0.22,0.28,0.28,0.22,0.34,0.16,0.22,0.34,0.81,1.00,0.81"
"names of shades of black";"140";"78.50";"0.00";"http://hairstylefoto.com/names-of-shades-of-black/";"0.00";"0.01";"6870000";"0.34,0.28,0.34,0.28,0.28,0.28,0.28,0.34,0.34,0.34,0.66,1.00"
